country,year,bitcoin_premium_(%),bitcoin_return_(%)
Argentina,2014,18.18632361,-40.91596987
Argentina,2014,48.41218558,14.00885559
Argentina,2014,33.80158513,-29.87986035
Argentina,2014,15.6645573,-38.80497574
Argentina,2014,8.921913634,8.58653673
Argentina,2014,31.11925733,54.4280407
Argentina,2014,28.78296865,-3.404037353
Argentina,2014,40.08755855,1.325444648
Argentina,2014,47.01362699,-6.00581687
Argentina,2014,47.26458626,-18.68437702
Argentina,2014,27.01005706,-19.84183882
Argentina,2014,38.14051586,4.422204498
Argentina,2015,59.16863531,8.285450899
Argentina,2015,34.60648162,-39.37795262
Argentina,2015,25.71728119,-1.104518445
Argentina,2015,29.92223263,-5.830625749
Argentina,2015,24.16473156,-7.649303878
Argentina,2015,27.73888879,7.762936443
Argentina,2015,24.97316039,11.81639638
Argentina,2015,49.58452568,27.1674196
Argentina,2015,26.22847262,-31.79841248
Argentina,2015,29.18253464,22.55917498
Argentina,2015,31.45790282,44.44081692
Argentina,2015,28.72739084,-1.173929013
Argentina,2016,16.82658272,-14.38380065
Argentina,2016,2.829864445,-14.59743874
Argentina,2016,12.4034676,13.33334415
Argentina,2016,0.8791297552,-6.31495392
Argentina,2016,-4.285337526,6.614534316
Argentina,2016,-12.99902095,21.35983867
Argentina,2016,17.61168172,38.54042479
Argentina,2016,11.58574962,-18.09201222
Argentina,2016,-2.953404075,-10.99280057
Argentina,2016,-3.365016437,10.41624252
Argentina,2016,6.695747863,19.48888962
Argentina,2016,-11.4584826,0.6979817854
Argentina,2017,9.417503807,38.83598537
Argentina,2017,-0.0804648118,-0.1818359055
Argentina,2017,16.25435331,21.56144879
Argentina,2017,-1.81461823,-9.274017159
Argentina,2017,-35.89102888,27.89003714
Argentina,2017,8.829600927,88.95554967
Argentina,2017,15.12229696,-1.934879827
Argentina,2017,-23.4418922,6.980292064
Argentina,2017,26.6540767,80.05237518
Argentina,2017,-0.9504214048,-2.463336608
Argentina,2017,-13.25504129,42.79480993
Argentina,2017,-22.05958898,62.21293326
Argentina,2018,21.5747039,41.69106387
Argentina,2018,33.85969062,-21.25538478
Argentina,2018,31.82533339,-0.9298484739
Argentina,2018,6.736553561,-35.31219988
Argentina,2018,21.67567212,24.80301501
Argentina,2018,26.70650457,-14.90260164
Argentina,2018,-7.8728057,-27.15595617
Argentina,2018,28.03217579,41.44292852
Argentina,2018,13.27195945,-17.9498701
Argentina,2018,11.11027893,-5.192597935
Argentina,2018,27.98400713,-5.219892796
Argentina,2018,16.22700922,-36.39273111
Argentina,2019,-6.647400659,-21.35270546
Argentina,2019,17.86769452,31.43598572
Argentina,2019,-2.388981916,-15.25820378
Argentina,2019,6.503653927,32.80820453
Argentina,2019,-26.87498461,8.627289986
Argentina,2019,-15.13879387,63.96199472
Argentina,2019,6.701544634,28.79175398
Argentina,2019,-0.4925243905,-9.645990562
Argentina,2019,17.64057591,5.336390057
Argentina,2019,13.93035958,-10.7520933
Argentina,2019,29.83795202,13.21687016
Argentina,2019,21.3248913,-20.99143784
Argentina,2020,17.89468433,10.47807331
Argentina,2020,28.30966063,31.79186246
Argentina,2020,42.73853345,-12.29990092
Argentina,2020,24.71536601,-10.37010402
Argentina,2020,39.46037373,46.04283542
Argentina,2020,44.04576289,12.93012823
Argentina,2020,32.52985591,-11.80124289
Argentina,2020,67.66566407,35.62082235
