Country,Year,bitcoin_return,bitcoin_premium,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_Percent_of_GDP,Gov_Expenditure_Percent_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Stock_Market_Returns,Currency_Returns,Trading_Volume,Global_Volume,Percent_Global_Volume
Australia,2014,-4.9763,8.6479,2.5000,1.8000,0.7000,1.8000,45.0000,30.0000,25.6000,35.3000,90.0000,82.0000,94.6000,79.2000,80.5000,86.4000,85.0000,90.0000,0.8029,8.9329,"39,399.7603","287,702,640.0000",0.0137
Australia,2015,0.7844,0.9376,2.0000,2.5000,-0.5000,1.8000,45.0000,30.0000,26.5000,35.7000,90.0000,81.4000,94.1000,81.6000,85.3000,86.4000,80.0000,90.0000,-2.5755,12.3414,"143,659.3400","383,432,300.0000",0.0375
Australia,2016,6.8415,-2.5468,1.5000,2.5000,-1.0000,1.8000,45.0000,30.0000,27.5000,35.6000,90.0000,80.3000,89.4000,77.2000,85.2000,86.4000,80.0000,90.0000,7.5002,0.6921,"140,955.9400","1,028,608,400.0000",0.0137
Australia,2017,27.9619,-13.1748,1.5000,1.5000,0.0000,1.9000,45.0000,30.0000,27.5000,37.2000,81.7000,81.0000,89.3000,84.1000,86.4000,86.2000,80.0000,90.0000,5.7891,-7.1777,"488,390.0100","30,386,367,280.0000",0.0016
Australia,2018,-4.3314,4.5076,1.5000,1.3000,0.2000,1.9000,45.0000,30.0000,27.8000,36.0000,78.7000,80.9000,89.1000,79.7000,87.4000,86.2000,80.0000,90.0000,-6.8451,10.6400,"187,548.0300","66,562,087,763.0000",0.0003
Australia,2019,7.1156,-7.5910,0.7500,2.0000,-1.2500,1.2000,45.0000,30.0000,28.2000,36.5000,79.1000,80.9000,88.3000,84.1000,86.6000,87.6000,80.0000,90.0000,20.2652,0.6189,"184,956.3900","199,888,313,632.0000",0.0001
Australia,2020,10.0414,-2.5087,0.1000,2.0000,-1.9000,0.9000,45.0000,30.0000,27.8000,35.8000,82.8000,82.6000,87.8000,84.0000,86.2000,88.2000,80.0000,90.0000,-1.5469,-8.9461,"153,728.4200","5,364,487,230,960.0000",0.0000
Australia,2021,12.3551,-4.5997,0.1000,1.6000,-1.5000,2.6000,45.0000,30.0000,28.5000,37.4000,81.5000,82.4000,87.4000,84.1000,86.7000,89.8000,80.0000,90.0000,11.3761,6.0621,"1,414,105.5000","17,321,689,358,183.0000",0.0000
Australia,2022,-8.4065,4.0138,3.1000,0.9000,2.2000,2.5000,45.0000,30.0000,28.7000,40.2000,91.7000,77.7000,84.6000,64.2000,83.2000,90.0000,80.0000,90.0000,-7.2611,7.1505,"4,436,100.3900","10,964,475,110,592.0000",0.0000
Brazil,2014,-6.9306,8.6782,11.7500,5.4000,6.3500,7.9000,27.5000,34.0000,34.8000,39.1000,50.0000,56.9000,53.8000,49.8000,69.9000,69.3000,55.0000,60.0000,-0.6635,12.5000,"25,075.8220","287,702,640.0000",0.0087
