,Country,Year,bitcoin_return,bitcoin_premium,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_Percent_of_GDP,Gov_Expenditure_Percent_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Stock_Market_Returns,Currency_Returns,Trading_Volume,Global_Volume,Percent_Global_Volume
0,Australia,2014,-4.976274466,8.647871184,2.5,1.8,0.7,1.8,45,30,25.6,35.3,90,82,94.6,79.2,80.5,86.4,85,90,0.8029229017,8.932863822,39399.7603,287702640,0.01369461201
1,Australia,2015,0.784430584,0.9375538601,2,2.5,-0.5,1.8,45,30,26.5,35.7,90,81.4,94.1,81.6,85.3,86.4,80,90,-2.57547053,12.34143477,143659.34,383432300,0.03746667665
2,Australia,2016,6.841487914,-2.546780993,1.5,2.5,-1,1.8,45,30,27.5,35.6,90,80.3,89.4,77.2,85.2,86.4,80,90,7.500233463,0.6920686872,140955.94,1028608400,0.01370355716
3,Australia,2017,27.96194828,-13.17484349,1.5,1.5,0,1.9,45,30,27.5,37.2,81.7,81,89.3,84.1,86.4,86.2,80,90,5.789086218,-7.177689458,488390.01,30386367280,0.001607266856
4,Australia,2018,-4.33144281,4.507627704,1.5,1.3,0.2,1.9,45,30,27.8,36,78.7,80.9,89.1,79.7,87.4,86.2,80,90,-6.845064849,10.63999071,187548.03,66562087763,0.0002817640436
5,Australia,2019,7.115550177,-7.591031006,0.75,2,-1.25,1.2,45,30,28.2,36.5,79.1,80.9,88.3,84.1,86.6,87.6,80,90,20.26521884,0.6189477351,184956.39,199888313632,9.25E-05
6,Australia,2020,10.04135941,-2.508654827,0.1,2,-1.9,0.9,45,30,27.8,35.8,82.8,82.6,87.8,84,86.2,88.2,80,90,-1.54694644,-8.94610123,153728.42,5364487230960,2.87E-06
7,Australia,2021,12.35508277,-4.59971799,0.1,1.6,-1.5,2.6,45,30,28.5,37.4,81.5,82.4,87.4,84.1,86.7,89.8,80,90,11.37607911,6.062082398,1414105.5,17321689358183,8.16E-06
8,Australia,2022,-8.406546472,4.013770739,3.1,0.9,2.2,2.5,45,30,28.7,40.2,91.7,77.7,84.6,64.2,83.2,90,80,90,-7.261055938,7.150476069,4436100.39,10964475110592,4.05E-05
9,Brazil,2014,-6.930622959,8.678240897,11.75,5.4,6.35,7.9,27.5,34,34.8,39.1,50,56.9,53.8,49.8,69.9,69.3,55,60,-0.6634750998,12.49999747,25075.822,287702640,0.008715881787
10,Brazil,2015,2.774181793,5.925743863,14.25,6.2,8.05,7.7,27.5,34,35.3,40.4,50,56.6,53.6,52.1,69.4,69.6,50,60,-10.64066623,49.07879033,39307.095,383432300,0.01025137814
11,Brazil,2016,6.207993056,-0.04828629007,13.75,6.3,7.45,7.8,27.5,34,33.4,38.6,45,56.5,61.4,52.5,64.2,69.4,55,50,42.9178235,-17.80271557,49311.86,1028608400,0.004794036292
12,Brazil,2017,32.99319112,-7.413732425,7,9,-2,7.8,27.5,34,32.8,41.9,55,52.9,61.3,52.3,67,69.4,50,50,28.214939,1.807950731,137875.77,30386367280,0.0004537421954
13,Brazil,2018,-5.773035444,5.195341283,6.5,8.7,-2.2,8.3,27.5,34,32,40.5,55.8,51.4,58.6,46.8,71.4,68.5,50,50,12.83331836,17.00643588,92366.61,66562087763,0.0001387675974
14,Brazil,2019,7.040411002,-5.761493911,4.5,3.4,1.1,8,27.5,34,32.2,38.6,57.3,51.9,57.9,51.9,75.5,69,50,50,27.4161649,3.652643673,115157.75,199888313632,5.76E-05
15,Brazil,2020,10.21042396,-2.552780249,2,3.7,-1.7,8.6,27.5,34,32.3,38.9,57.3,53.7,60.5,49.5,77.2,67.8,60,50,0.6181845783,29.26326204,77056.08,5364487230960,1.44E-06
16,Brazil,2021,12.11744073,-4.257732248,9.25,3.7,5.55,10.2,27.5,34,32.9,38.1,55,53.4,58,50.7,77.8,64.6,60,50,-11.58589045,7.308282269,134255.28,17321689358183,7.75E-07
17,Brazil,2022,-8.25220612,4.428971123,13.75,3.2,10.55,10,27.5,34,33.1,39.2,50.3,53.3,63.2,55.9,78.4,60,60,50,5.878447297,-5.127287837,182941.07,10964475110592,1.67E-06
18,Canada,2014,-3.633635986,15.63992752,1,1.5,-0.5,0.9,29,15,31,41.9,90,80.2,89.3,83.1,76.3,88.3,80,80,7.637081847,9.280280877,9230.8297,287702640,0.003208461938
19,Canada,2015,-0.7120148805,-0.4448540762,0.5,1,-0.5,0.8,29,15,30.7,41.5,90,79.1,89,76.1,77.9,88.4,80,80,-11.81873138,19.53674093,33100.06,383432300,0.008632569557
20,Canada,2016,7.602737992,-2.714874343,0.5,1.9,-1.4,1.5,29,15,30.6,40.7,90,78,81.8,72.6,76.9,87,80,80,18.25916965,-2.839530564,72226.093,1028608400,0.007021728872
21,Canada,2017,27.94311673,-12.49907975,1,1.1,-0.1,0.8,33,15,30.8,40.3,88.3,78.5,81.9,73.1,77.8,88.4,80,80,5.233393556,-6.770989497,253946.75,30386367280,0.0008357259282
22,Canada,2018,-4.082057721,5.53731131,1.75,1.4,0.35,1,33,15,31.9,39.9,87.5,77.7,81.8,71.3,77.5,88.1,80,80,-12.18332072,8.407948045,162769.7,66562087763,0.000244538153
23,Canada,2019,6.487521344,-9.050448193,1.75,1.6,0.15,1.6,33,15,31.7,40.3,87,77.7,81.9,73.7,77.2,86.8,80,80,18.93191813,-4.121279129,34311.31,199888313632,1.72E-05
24,Canada,2020,10.04783613,-2.784672605,0.25,0.9,-0.65,1.5,33,15,32.2,40.5,87.7,78.2,81.7,72,76,87,80,80,1.949709887,-2.37278575,48853.98,5364487230960,9.11E-07
25,Canada,2021,12.36053194,-4.924711735,0.25,1.9,-1.65,3.1,33,15,33,40.9,84.5,77.9,81.4,72.4,76.1,88.8,80,80,21.08079642,-0.04940135912,1148412.899,17321689358183,6.63E-06
26,Canada,2022,-8.424624155,3.949452072,4.25,0.7,3.55,3.4,33,15,33.5,44.9,89.5,76.6,78.8,68.7,78.2,83.2,80,80,-8.718949023,6.336900832,47333.83,10964475110592,4.32E-07
27,Colombia,2014,-5.904774638,0.1198716262,4.5,3.2,1.3,5.6,33,25,15.1,28.9,50,70.7,85.2,80.5,78.8,78.8,75,70,2.268893394,15.19216901,678.03176,287702640,0.0002356710248
28,Colombia,2015,2.020267265,-7.18076732,5.75,2,3.75,4.4,33,25,16.1,28.3,50,71.7,81.5,81.7,80.1,81.2,80,70,2.046828103,16.96259148,1774.8959,383432300,0.0004628968139
29,Colombia,2016,7.406947074,-10.71268608,7.5,2.9,4.6,4.5,33,25,16.5,29.2,50,70.8,78.2,77.6,79.6,81,80,70,8.380169124,-7.554896301,3316.2514,1028608400,0.000322401742
30,Colombia,2017,31.22790085,-23.69673018,4.75,5,-0.25,4.2,33,25,16.7,29.6,63.8,69.7,77.1,77.9,77,81.6,80,70,8.008123819,-6.148323302,8504.176,30386367280,2.80E-05
31,Colombia,2018,-4.767506029,-0.9173033176,4.25,7.5,-3.25,4.2,33,25,16.1,29.2,60.7,68.9,78.6,75.2,73.9,81.6,80,70,-16.77596875,12.87434447,12048.9226,66562087763,1.81E-05
32,Colombia,2019,7.90368063,-13.96137741,4.25,4.3,-0.05,7,33,33,19.9,28.9,59.2,67.3,71.4,78.5,75.6,76,80,70,3.004127373,5.58039109,6648.55993,199888313632,3.33E-06
33,Colombia,2020,9.627605615,-5.599715226,1.75,3.2,-1.45,4.4,39,33,18.8,27.7,61.1,69.2,71.3,78,77.5,81.2,80,70,-0.8334262928,-2.895385394,16043.19305,5364487230960,2.99E-07
34,Colombia,2021,12.9134468,-6.650187707,3,3.5,-0.5,6.5,39,32,22,32,59.8,68.1,71,77.7,78.1,77,80,70,19.1697233,19.76090014,3509.277,17321689358183,2.03E-08
35,Colombia,2022,-7.918273602,3.390801826,12,2.5,9.5,6.8,39,31,19.7,33.7,50.9,65.1,68.8,60.7,79.3,76.4,80,70,-8.456869634,0.5284791544,2613.956,10964475110592,2.38E-08
36,Czech Republic,2014,-5.905264881,5.098475627,0.05,3.3,-3.25,1.1,15,19,35.3,43.3,70,72.2,70.1,84,79.4,87.8,80,80,-99.9748453,14.65990624,681.4242,287702640,0.0002368501728
37,Czech Republic,2015,5.800749261,-13.33511998,0.05,1.4,-1.35,1,15,19,35.5,44.5,75,72.5,68.2,82.9,81.2,88,80,80,-0.7142787892,8.546115892,2513.2803,383432300,0.0006554691141
38,Czech Republic,2016,6.896878513,-5.042957135,0.05,0.4,-0.35,1,15,19,34.1,41.9,75,73.2,66.6,77.7,84.1,88,80,80,-1.77142017,3.419983602,1847.8504,1028608400,0.000179645665
39,Czech Republic,2017,27.18754716,-13.74110905,0.5,0.3,0.2,1.5,15,19,33.5,42.9,70.3,73.3,67.2,77.7,85.8,87,80,80,15.57576176,-16.27499613,678.858591,30386367280,2.23E-06
40,Czech Republic,2018,-3.360453247,7.815451617,1.75,0.7,1.05,1.6,15,19,33.5,41.4,73,74.2,72.5,76.8,85.2,86.9,80,80,-8.959537182,5.105175651,2128.992465,66562087763,3.20E-06
41,Czech Republic,2019,6.64647043,-7.568357848,2,2.4,-0.4,2,15,19,34,40,74.8,73.7,72.4,78.1,81.5,86,80,80,12.76165746,0.808491129,37879.553,199888313632,1.90E-05
42,Czech Republic,2020,9.841371805,-3.223345702,0.25,2.2,-1.95,1.8,15,19,34.9,39.7,76.8,74.8,69.7,77.6,80.8,86.4,80,80,-8.610121503,-5.928179083,14544.7336,5364487230960,2.71E-07
43,Czech Republic,2021,12.57824916,-4.842821801,3.75,2.9,0.85,3,22,19,35.3,40.2,76.2,73.8,68.8,77.1,79.7,84,70,80,29.20905194,2.376641119,4914.144,17321689358183,2.84E-08
44,Czech Republic,2022,-8.454049728,4.047518399,7,3.2,3.8,2.9,23,19,34.9,42.9,88.8,74.4,80.6,56.5,79,79.2,70,80,6.100262679,3.844533827,6191.0973,10964475110592,5.65E-08
45,Indonesia,2014,-5.222501844,9.053172513,7.75,4.3,3.45,2.6,30,25,11.8,18.5,30,58.5,54.8,47.8,76.4,74.8,40,60,20.79099875,2.154959697,14.791572,287702640,5.14E-06
46,Indonesia,2015,2.485349813,-2.249302625,7.5,6.4,1.1,2.6,30,25,11.9,19.7,30,58.1,49.3,48.7,74.9,74.8,40,60,-12.39347423,11.47342995,40972.22436,383432300,0.0106856476
47,Indonesia,2016,7.036179519,-3.637527993,4.75,6.4,-1.65,2.3,30,25,11.8,19.1,30,59.4,54,49.3,74.3,80.4,40,60,17.03061857,-2.737450343,1178917.55,1028608400,0.1146128643
48,Indonesia,2017,28.02982248,-14.08553144,4.25,6.4,-2.15,2.3,30,25,10.9,17.4,48.3,61.9,49.1,48.9,74,80.5,35,60,20.46414922,0.6832021387,393250.992,30386367280,0.001294169153
49,Indonesia,2018,-3.779424087,4.848463725,6,3.5,2.5,2.3,30,25,10.4,17.6,49.3,64.2,57.3,50.3,81.6,80.5,40,60,-2.28323579,7.338840537,13625.47,66562087763,2.05E-05
50,Indonesia,2019,7.007280209,-6.893734513,5,3.8,1.2,2.6,30,25,10.4,16.9,52.2,65.8,69.3,49.3,77.4,79.8,45,60,1.914915231,-4.356490071,1168.9067,199888313632,5.85E-07
51,Indonesia,2020,10.02705914,-2.776536674,3.75,3.2,0.55,2.1,30,25,11.5,16.7,59.8,67.2,70,49.2,78.4,80.8,50,60,-4.846087125,-0.6210247122,3268.1075,5364487230960,6.09E-08
