Country,Year,Interest Rate,Inflation,Real Interest Rate,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP,Property Rights,Economic Freedom,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Argentina,2013,9.50,9.8,-0.30,6.2,35,35,33.5,40,15,46.7,60.1,47.4,60.4,67.6,40,30
Thailand,2013,2.25,3.8,-1.55,4.9,37,23,14.5,23.3,45,64.1,73.2,72.9,68.3,75.2,40,70
South Africa,2013,5.00,5,0.00,4.4,40,28,23.8,32,50,61.8,74.7,55.6,75.8,76.3,45,60
Brazil,2013,10.00,6.6,3.40,7.6,27.5,34,32.5,38.8,50,57.7,53,57.2,74.4,69.7,50,60
Japan,2013,...,-0.3,-0.3,1.6,40,25.5,28.8,42.8,80,71.8,81.3,80.3,90.6,81.8,60,50
Colombia,2013,3.25,3.4,-0.15,8.9,33,33,14.4,28.7,50,69.6,90.2,79.3,78.7,72.2,70,70
South Korea,2013,2.50,4,-1.50,8.7,38.5,24.2,25.1,30.1,70,70.3,93.6,48.7,77.9,72.6,70,70
United States,2013,0.13,3.1,-2.98,1.8,35,35,24.8,41.7,85,76,90.5,95.5,75,86.4,70,70
Singapore,2013,0.64,5.2,-4.56,0,20,17,14.1,17,90,88,97.1,91.4,82,90,75,80
Australia,2013,2.50,3.4,-0.90,1.9,45,30,20.9,35.2,90,82.6,95.5,83.5,83.8,86.2,80,90
New Zealand,2013,2.50,4,-1.50,1.6,33,28,31.3,47.2,95,81.4,99.9,89.5,83.3,86.8,80,80
Switzerland,2013,0.25,0.2,0.05,0,41.5,24,29.8,34.7,90,81,75.8,87.9,86.2,90,80,80
Canada,2013,1.00,2.9,-1.90,0.9,29,15,31,42.9,90,79.4,91.7,82.3,75.2,88.2,75,80
Indonesia,2013,7.50,5.4,2.10,2.5,30,25,11.6,19,30,56.9,50.2,50.8,75.5,75,35,50
Mexico,2013,3.50,3.4,0.10,2.2,30,30,9.6,26.2,50,67,81.4,59.7,77.7,80.6,70,60
Russia,2013,5.50,8.4,-2.90,3.8,13,20,27.2,39,25,51.1,69.2,52.6,66.7,77.4,25,30
Turkey,2013,3.50,6.5,-3.00,2.4,35,20,26,34.2,50,62.9,68.2,43.1,73.3,85.2,65,60
Czech Republic,2013,0.05,1.9,-1.85,1.6,15,19,34.9,43.4,70,70.9,65.8,85.5,81.7,86.8,70,80
United Kingdom,2013,0.50,4.5,-4.00,1.6,50,24,35,49.1,90,74.8,94.1,71.6,72.4,86.8,90,80
Israel,2013,1.00,3.5,-2.50,3.5,48,25,32.4,45,70,66.9,66.1,63.7,78.6,83,80,70
Malaysia,2013,3.00,3.2,-0.20,4,26,25,13.8,29.7,55,66.1,79.9,72.3,79.8,77,45,50
Argentina,2014,26.86,10,16.86,5.6,35,35,34.6,40.9,15,44.6,53.9,44.9,60,68.9,30,30
Russia,2014,17.00,5.1,11.90,5.2,13,20,29.5,35.8,25,51.9,70,55.8,69.4,74.6,25,30
Indonesia,2014,7.75,4.3,3.45,2.6,30,25,11.8,18.5,30,58.5,54.8,47.8,76.4,74.8,40,60
Thailand,2014,2.00,3,-1.00,5,37,20,16.2,23.4,45,63.3,71.4,61.6,68.6,75,45,70
Mexico,2014,3.00,4.1,-1.10,2.2,30,30,10.6,26.6,50,66.8,76.8,58.3,77.4,85.6,70,60
Turkey,2014,7.50,8.9,-1.40,2.7,35,20,25,34.9,50,64.9,67.6,59.7,71.8,84.5,70,60
South Africa,2014,5.75,5.7,0.05,4.5,40,28,27.3,32.1,50,62.5,74.5,54.4,75.3,76.1,55,60
Colombia,2014,4.50,3.2,1.30,5.6,33,25,15.1,28.9,50,70.7,85.2,80.5,78.8,78.8,75,70
Brazil,2014,11.75,5.4,6.35,7.9,27.5,34,34.8,39.1,50,56.9,53.8,49.8,69.9,69.3,55,60
Malaysia,2014,3.25,1.7,1.55,4.3,26,25,15.3,28.5,55,69.6,85.6,78.5,81,76.4,55,60
Czech Republic,2014,0.05,3.3,-3.25,1.1,15,19,35.3,43.3,70,72.2,70.1,84,79.4,87.8,80,80
South Korea,2014,2.00,2.2,-0.20,8.7,38.5,24.2,25.9,30.2,70,71.2,92.8,47.8,79.6,72.6,70,80
Israel,2014,0.25,1.7,-1.45,3.5,48,25,32.6,44.6,75,68.4,73.2,63,80.6,82.9,80,70
Japan,2014,...,0,0,1.3,40.8,25.5,27.6,42,80,72.4,80,79.8,87.5,82.4,70,50
United States,2014,0.13,2.1,-1.98,1.6,39.6,35,25.1,41.6,80,75.5,89.2,97.2,75.4,86.8,70,70
Singapore,2014,0.68,4.6,-3.92,0,20,17,13.8,17.1,90,89.4,96.8,96.5,81.5,90,85,80
Switzerland,2014,0.25,-0.7,0.95,0,41.5,24,28.5,33.8,90,81.6,75.4,87.4,85.2,90,85,80
Canada,2014,1.00,1.5,-0.50,0.9,29,15,31,41.9,90,80.2,89.3,83.1,76.3,88.3,80,80
United Kingdom,2014,0.50,2.8,-2.30,1.1,50,24,35.5,48.5,90,74.9,92,73.1,73.5,87.8,90,80
Australia,2014,2.50,1.8,0.70,1.8,45,30,25.6,35.3,90,82,94.6,79.2,80.5,86.4,85,90
New Zealand,2014,3.50,1.1,2.40,1.6,33,28,31.7,47.5,95,81.2,96.1,90.2,86.3,86.8,80,80
Argentina,2015,33.00,10.6,22.40,5.6,35,35,29.5,44.3,15,44.1,52.8,43.3,59.6,68.8,30,30
Russia,2015,11.00,6.8,4.20,5,13,20,28.7,37.5,20,52.1,76.3,58.9,63.9,75,25,30
Indonesia,2015,7.50,6.4,1.10,2.6,30,25,11.9,19.7,30,58.1,49.3,48.7,74.9,74.8,40,60
Thailand,2015,1.50,2.2,-0.70,4.8,35,20,15,24.9,40,62.4,72.5,63.5,69.9,75.4,45,60
Turkey,2015,7.25,7.5,-0.25,2.7,35,20,27.7,37.6,45,63.2,61,50.2,72.4,84.6,75,60
Mexico,2015,3.25,3.8,-0.55,2.2,35,30,10,27.1,50,66.4,71.5,59.9,77.6,85.6,70,60
South Africa,2015,6.25,5.8,0.45,4.2,40,28,25.8,32.6,50,62.6,73,61.6,74.9,76.6,50,60
Colombia,2015,5.75,2,3.75,4.4,33,25,16.1,28.3,50,71.7,81.5,81.7,80.1,81.2,80,70
Brazil,2015,14.25,6.2,8.05,7.7,27.5,34,35.3,40.4,50,56.6,53.6,52.1,69.4,69.6,50,60
Malaysia,2015,3.25,2.1,1.15,5,26,25,16.1,29.5,55,70.8,93.5,75.7,80.8,80,55,60
Israel,2015,0.10,1.5,-1.40,0.7,48,26.5,28.3,41.7,75,70.5,72.4,67.1,81.6,88.6,80,70
Czech Republic,2015,0.05,1.4,-1.35,1,15,19,35.5,44.5,75,72.5,68.2,82.9,81.2,88,80,80
South Korea,2015,1.50,1.3,0.20,8.7,38,24.2,26.8,32.7,75,71.5,89.7,51.1,81.6,72.6,70,80
Japan,2015,...,0.4,0.4,1.2,40.8,25.5,28.6,42,80,73.3,84.1,90.2,86.7,82.6,70,50
United States,2015,0.38,1.5,-1.13,1.5,39.6,35,24.3,40.1,80,76.2,88.8,98.5,76.6,87,70,70
Singapore,2015,1.23,2.4,-1.17,0,20,17,14,14.4,90,89.4,96.9,96.9,83.7,90,85,80
Switzerland,2015,-0.25,-0.2,-0.05,0,40,24,28.2,34.1,90,80.5,78.1,75.3,86.3,90,85,80
Canada,2015,0.50,1,-0.50,0.8,29,15,30.7,41.5,90,79.1,89,76.1,77.9,88.4,80,80
United Kingdom,2015,0.50,2.6,-2.10,1,45,21,35.2,48.2,90,75.8,91.1,75.6,74.4,88,90,80
Australia,2015,2.00,2.5,-0.50,1.8,45,30,26.5,35.7,90,81.4,94.1,81.6,85.3,86.4,80,90
New Zealand,2015,2.50,1.1,1.40,1.6,33,28,32.9,43.6,95,82.1,95.5,91.4,87.6,86.8,80,80
Argentina,2016,24.75,37.6,-12.85,6.3,35,35,30.6,40.3,15,43.8,56,43.9,44,67.4,30,30
Russia,2016,10.00,7.8,2.20,6.3,13,20,34.8,38.2,20,50.6,72.2,57.6,62.9,72.4,25,30
Brazil,2016,13.75,6.3,7.45,7.8,27.5,34,33.4,38.6,45,56.5,61.4,52.5,64.2,69.4,55,50
Indonesia,2016,4.75,6.4,-1.65,2.3,30,25,11.8,19.1,30,59.4,54,49.3,74.3,80.4,40,60
Thailand,2016,1.50,1.9,-0.40,6.2,35,20,16.2,24.3,40,63.9,76.3,62.5,70.9,77.6,50,60
Turkey,2016,7.25,8.9,-1.65,2.8,35,20,29.3,38.5,40,62.1,65.4,48.6,71.5,84.4,75,60
Mexico,2016,5.75,4,1.75,5.4,35,30,19.7,28.1,50,65.2,70.7,58.2,77.4,79.2,70,60
South Africa,2016,7.00,6.1,0.90,4,40,28,24.7,31.7,50,61.9,69.7,58.7,74.6,77,45,60
Malaysia,2016,3.00,3.1,-0.10,4.3,25,25,15.8,29.3,55,71.5,91.4,71.5,84.5,81.4,60,60
Japan,2016,...,2.7,2.7,1.2,40.8,23.9,30.3,42.3,80,73.1,82.5,83.9,81.2,82.6,70,60
Colombia,2016,7.50,2.9,4.60,4.5,33,25,16.5,29.2,50,70.8,78.2,77.6,79.6,81,80,70
Israel,2016,0.10,0.5,-0.40,0.9,48,26.5,30.5,41.3,75,70.7,70.6,64.6,84.2,88.2,85,70
United States,2016,0.63,1.6,-0.98,1.5,39.6,35,25.4,38.9,80,75.4,84.7,91.4,77,87,70,70
South Korea,2016,1.25,1.3,-0.05,7.7,38,24.2,24.3,31.8,70,71.7,91.1,50.6,82.6,74.6,70,80
Czech Republic,2016,0.05,0.4,-0.35,1,15,19,34.1,41.9,75,73.2,66.6,77.7,84.1,88,80,80
Canada,2016,0.50,1.9,-1.40,1.5,29,15,30.6,40.7,90,78,81.8,72.6,76.9,87,80,80
Singapore,2016,0.96,1,-0.04,0,20,17,13.8,18.2,90,87.8,95,90.7,81.8,90,85,80
Switzerland,2016,-0.25,0,-0.25,0,40,24,27.1,33.5,90,81,82.2,72.1,87.8,90,85,80
United Kingdom,2016,0.25,1.5,-1.25,1,45,20,32.9,45.1,90,76.4,86,71.8,76.4,88,90,80
New Zealand,2016,1.75,1.2,0.55,1.4,33,28,32.1,42.4,95,81.6,91.4,85.9,88.1,87.2,80,80
Australia,2016,1.50,2.5,-1.00,1.8,45,30,27.5,35.6,90,80.3,89.4,77.2,85.2,86.4,80,90
Russia,2017,7.75,15.5,-7.75,4.9,13,20,35.3,36.4,47.6,57.1,74.8,50.8,57.3,75.2,30,30
Turkey,2017,7.25,7.7,-0.45,2.8,35,20,28.7,37,61.3,65.2,64.3,48.5,72.2,79.4,75,60
Czech Republic,2017,0.50,0.3,0.20,1.5,15,19,33.5,42.9,70.3,73.3,67.2,77.7,85.8,87,80,80
Switzerland,2017,-0.25,-1.1,0.85,0,11.5,8.5,27.1,33,86.9,81.5,76.8,72.2,84.4,90,85,90
United Kingdom,2017,...,0.1,0.1,1.5,45,20,32.6,43.2,93.8,76.4,89.9,72.8,85,87,90,80
Argentina,2017,28.75,26.5,2.25,6.6,35,35,35.9,43.9,32.4,50.4,57.3,46.1,50.9,66.7,50,50
Brazil,2017,7.00,9,-2.00,7.8,27.5,34,32.8,41.9,55,52.9,61.3,52.3,67,69.4,50,50
Mexico,2017,7.25,2.7,4.55,5,35,30,19.7,27.6,58.1,63.6,70.7,57.9,78.8,80,70,60
Canada,2017,1.00,1.1,-0.10,0.8,33,15,30.8,40.3,88.3,78.5,81.9,73.1,77.8,88.4,80,80
Colombia,2017,4.75,5,-0.25,4.2,33,25,16.7,29.6,63.8,69.7,77.1,77.9,77,81.6,80,70
United States,2017,1.38,0.1,1.28,1.4,39.6,35,26,37.8,81.3,75.1,84.4,91,80.1,87.1,80,70
Indonesia,2017,4.25,6.4,-2.15,2.3,30,25,10.9,17.4,48.3,61.9,49.1,48.9,74,80.5,35,60
Thailand,2017,1.50,-0.9,2.40,3.6,35,20,16.5,22.3,51.3,66.2,69.9,62.8,72.9,82.8,50,60
Malaysia,2017,3.00,2.1,0.90,4.4,28,24,14.8,25.2,85.3,73.8,90.8,73.1,85.3,81.2,60,50
South Korea,2017,1.50,0.7,0.80,5.2,35,22,24.6,32.9,77.8,74.3,90.6,57,84,79.5,65,70
Japan,2017,-0.10,0.8,-0.90,1.2,40.8,23.9,30.3,39.3,89.4,69.6,82.3,77.5,83,82.6,70,60
Australia,2017,1.50,1.5,0.00,1.9,45,30,27.5,37.2,81.7,81,89.3,84.1,86.4,86.2,80,90
