Currency,Date,Price ($)
ARS,2014-01-01,1083.003505
ARS,2014-02-01,1234.719902
ARS,2014-03-01,865.7873196
ARS,2014-04-01,529.8187603
ARS,2014-05-01,575.3118427
ARS,2014-06-01,888.4428066
ARS,2014-07-01,858.1998816
ARS,2014-08-01,869.574846
ARS,2014-09-01,817.3497732
ARS,2014-10-01,664.63306
ARS,2014-11-01,532.7576395
ARS,2014-12-01,556.3172718
ARS,2015-01-01,602.4106662
ARS,2015-02-01,365.1936795
ARS,2015-03-01,361.160048
ARS,2015-04-01,340.1021572
ARS,2015-05-01,314.0867097
ARS,2015-06-01,338.4690614
ARS,2015-07-01,378.4639073
ARS,2015-08-01,481.282785
ARS,2015-09-01,328.2424998
ARS,2015-10-01,402.2912997
ARS,2015-11-01,581.0728397
ARS,2015-12-01,574.2514571
ARS,2016-01-01,491.6522723
ARS,2016-02-01,419.883633
ARS,2016-03-01,475.8681628
ARS,2016-04-01,445.8173076
ARS,2016-05-01,475.3060464
ARS,2016-06-01,576.8306511
ARS,2016-07-01,799.1436344
ARS,2016-08-01,654.5624704
ARS,2016-09-01,582.6077234
ARS,2016-10-01,643.2935568
ARS,2016-11-01,768.664328
ARS,2016-12-01,774.029465
ARS,2017-01-01,1074.631435
ARS,2017-02-01,1072.677369
ARS,2017-03-01,1303.962151
ARS,2017-04-01,1183.032477
ARS,2017-05-01,1512.980674
ARS,2017-06-01,2858.860949
ARS,2017-07-01,2803.545426
ARS,2017-08-01,2999.241084
ARS,2017-09-01,5400.20481
ARS,2017-10-01,5267.179588
ARS,2017-11-01,7521.259082
ARS,2017-12-01,12200.45497
ARS,2018-01-01,17286.95445
ARS,2018-02-01,13612.54576
ARS,2018-03-01,13485.96972
ARS,2018-04-01,8723.777134
ARS,2018-05-01,10887.53689
ARS,2018-06-01,9265.010635
ARS,2018-07-01,6749.008408
ARS,2018-08-01,9545.995138
ARS,2018-09-01,7832.501411
ARS,2018-10-01,7425.791104
ARS,2018-11-01,7038.172769
ARS,2018-12-01,4476.789479
ARS,2019-01-01,3520.873807
ARS,2019-02-01,4627.695194
ARS,2019-03-01,3921.592031
ARS,2019-04-01,5208.195965
ARS,2019-05-01,5657.522134
ARS,2019-06-01,9276.186143
ARS,2019-07-01,11946.96284
ARS,2019-08-01,10794.55993
ARS,2019-09-01,11370.59975
ARS,2019-10-01,10148.02226
ARS,2019-11-01,11489.27318
ARS,2019-12-01,9077.509544
ARS,2020-01-01,10028.65765
ARS,2020-02-01,13216.9547
ARS,2020-03-01,11591.28236
ARS,2020-04-01,10389.25432
ARS,2020-05-01,15172.76159
