,Country,Year,Trading_Volume,Global_Volume,Percent_Global_Volume
0,Argentina ,2014,1940.20739,287702640,0.0006743794182771489
1,Australia,2014,39399.7603,287702640,0.013694612013292614
2,Brazil,2014,25075.822,287702640,0.008715881786833794
3,Canada,2014,9230.8297,287702640,0.0032084619383402255
4,Colombia,2014,678.03176,287702640,0.0002356710247775272
5,Czech Republic,2014,681.4242,287702640,0.00023685017280341953
6,Indonesia,2014,14.791572,287702640,5.141270862165186e-06
7,Israel,2014,6664.0479,287702640,0.0023162970975865913
8,Japan,2014,25114.07042,287702640,0.008729176214719477
9,Malaysia,2014,1642.173,287702640,0.0005707882972502442
10,Mexico ,2014,3347.9679,287702640,0.0011636903644679799
11,New Zealand,2014,3181.3195,287702640,0.0011057665303314563
12,Russia,2014,17805.4531,287702640,0.006188838969291348
13,Singapore,2014,949.272,287702640,0.0003299490056816997
14,South Africa,2014,8889.174,287702640,0.0030897088744128317
15,South Korea ,2014,59.1758,287702640,2.0568389640081163e-05
16,Switzerland,2014,2747.16612,287702640,0.000954863021069254
17,Thailand,2014,9208.1899,287702640,0.0032005927717590633
18,Turkey,2014,15.7981,287702640,5.4911209712917476e-06
19,United Kingdom,2014,134213.37,287702640,0.04665003074007246
20,United States,2014,4412021.29,287702640,1.5335352119118544
21,Argentina ,2015,6018.5544,383432300,0.0015696524262562126
22,Australia,2015,143659.34,383432300,0.037466676646698775
23,Brazil,2015,39307.095,383432300,0.01025137814419912
24,Canada,2015,33100.06,383432300,0.008632569556607515
25,Colombia,2015,1774.8959,383432300,0.0004628968138573615
26,Czech Republic,2015,2513.2803,383432300,0.0006554691141043673
27,Indonesia,2015,40972.22436,383432300,0.010685647599328486
28,Israel,2015,6499.00404,383432300,0.001694954765156717
29,Japan,2015,713097.688,383432300,0.18597746929510112
30,Malaysia,2015,18015.443,383432300,0.004698467760801581
31,Mexico ,2015,8850.003,383432300,0.0023081005434336128
32,New Zealand,2015,6106.6692,383432300,0.0015926329628463748
33,Russia,2015,214803.7,383432300,0.05602128459183017
34,Singapore,2015,31873.9086,383432300,0.008312786533633187
35,South Africa,2015,62517.196,383432300,0.0163046243104715
36,South Korea ,2015,48.2907,383432300,1.2594322387550553e-05
37,Switzerland,2015,6598.619,383432300,0.001720934569153407
38,Thailand,2015,16835.613,383432300,0.004390765462377583
